ProductId,Date,Sales,COGS,Gross Margin,Marketing,Total Expenses,Profit,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code
10,2022-01-01,150,69,81,21,42,39,965,40,50,60,110,772
11,2022-01-01,80,32,48,8,19,29,821,40,30,50,80,508
13,2022-01-01,80,32,48,8,19,29,456,40,30,50,80,781
7,2022-01-01,341,170,171,47,71,100,1091,110,160,170,330,978
5,2022-01-01,126,63,63,57,86,-23,435,-10,60,60,120,781
2,2022-01-01,494,72,422,23,55,367,558,360,60,400,460,413
9,2022-01-01,130,58,72,22,55,17,338,30,40,60,100,339
11,2022-01-01,45,18,27,5,17,10,821,20,10,30,40,603
13,2022-01-01,43,17,26,4,15,11,777,20,10,30,40,603
7,2022-01-01,65,29,36,11,44,-8,169,0,20,40,60,603
5,2022-01-01,90,37,53,34,63,-10,261,0,30,50,80,603
1,2022-01-01,93,38,55,12,35,20,241,30,30,50,80,603
2,2022-01-01,120,48,72,15,47,25,372,40,40,70,110,603
9,2022-01-01,76,34,42,12,46,-4,197,0,20,30,50,603
11,2022-01-01,234,95,139,26,38,101,821,120,100,150,250,347
12,2022-01-01,219,89,130,24,36,94,777,110,90,140,230,646
13,2022-01-01,134,54,80,15,26,54,456,70,50,90,140,347
7,2022-01-01,490,228,262,63,87,175,1459,200,210,270,480,631
5,2022-01-01,61,105,-44,95,128,-172,725,-170,100,-50,50,315
2,2022-01-01,678,271,407,94,145,262,2101,260,260,380,640,716
9,2022-01-01,483,245,238,93,127,111,1419,100,180,190,370,607
10,2022-01-01,180,207,-27,64,86,-113,965,-70,150,-10,140,845
5,2022-01-01,180,67,113,20,43,70,400,80,50,100,150,337
6,2022-01-01,150,61,89,19,41,48,390,50,50,70,120,337
8,2022-01-01,112,49,63,16,28,35,623,40,40,60,100,337
9,2022-01-01,190,85,105,32,65,40,494,40,80,100,180,504
4,2022-01-01,180,75,105,68,97,8,522,10,60,90,150,504
2,2022-01-01,85,34,51,9,21,30,777,50,40,60,100,225
3,2022-01-01,81,33,48,9,20,28,777,50,40,60,100,985
5,2022-01-01,90,37,53,34,63,-10,261,-10,30,40,70,505
6,2022-01-01,82,35,47,11,38,9,196,10,30,40,70,505
8,2022-01-01,45,18,27,5,16,11,821,20,10,30,40,505
9,2022-01-01,62,28,34,8,30,4,965,20,20,40,60,505
4,2022-01-01,65,29,36,11,44,-8,169,0,20,30,50,505
2,2022-01-01,120,48,72,15,46,26,372,50,60,90,150,505
3,2022-01-01,99,88,11,27,50,-39,525,-30,110,10,120,505
5,2022-01-01,80,32,48,8,20,28,456,40,20,40,60,405
6,2022-01-01,210,84,126,27,59,67,651,70,70,110,180,405
8,2022-01-01,120,54,66,20,53,13,312,20,50,60,110,918
9,2022-01-01,190,79,111,72,101,10,551,30,70,110,180,580
4,2022-01-01,200,84,116,26,50,66,500,70,70,100,170,405
2,2022-01-01,100,44,56,14,27,29,623,50,50,70,120,580
3,2022-01-01,80,32,48,8,20,28,821,50,40,60,100,580
5,2022-01-01,219,89,130,24,35,95,777,90,70,110,180,325
6,2022-01-01,134,54,80,15,26,54,456,60,40,70,110,956
8,2022-01-01,140,60,80,19,47,33,336,50,50,80,130,281
9,2022-01-01,140,57,83,18,41,42,364,50,50,80,130,254
4,2022-01-01,180,72,108,23,55,53,558,50,60,90,150,830
2,2022-01-01,452,207,245,64,86,159,965,220,260,300,560,409
3,2022-01-01,190,83,107,27,39,68,623,100,100,130,230,325
4,2022-01-01,114,46,68,12,24,44,777,40,40,60,100,435
5,2022-01-01,112,49,63,16,29,34,623,40,40,60,100,435
6,2022-01-01,123,50,73,14,26,47,821,50,40,70,110,435
8,2022-01-01,93,38,55,12,34,21,241,30,30,50,80,801
9,2022-01-01,120,48,72,15,47,25,372,30,40,60,100,435
10,2022-01-01,99,88,11,27,51,-40,525,-30,70,10,80,435
11,2022-01-01,90,37,53,34,63,-10,261,0,20,40,60,435
12,2022-01-01,82,35,47,11,38,9,196,10,20,30,50,435
13,2022-01-01,65,29,36,11,45,-9,169,10,10,30,40,435
1,2022-01-01,170,78,92,24,45,47,965,80,90,120,210,801
2,2022-01-01,130,55,75,18,45,30,312,70,60,100,160,435
3,2022-01-01,190,85,105,32,66,39,494,70,100,130,230,801
4,2022-01-01,456,228,228,63,88,140,1459,150,210,220,430,661
5,2022-01-01,250,105,145,95,128,17,725,20,100,140,240,818
6,2022-01-01,546,234,312,77,109,203,1310,200,220,300,520,213
8,2022-01-01,234,95,139,26,37,102,821,100,80,120,200,510
9,2022-01-01,452,207,245,64,85,160,965,160,170,220,390,310
10,2022-01-01,190,83,107,27,40,67,623,60,70,90,160,707
11,2022-01-01,219,89,130,24,36,94,777,80,50,90,140,619
12,2022-01-01,134,54,80,15,26,54,456,60,30,60,90,650
13,2022-01-01,180,72,108,23,54,54,558,50,40,80,120,760
1,2022-01-01,145,95,50,30,52,-2,608,30,110,70,180,916
2,2022-01-01,678,271,407,94,145,262,2101,370,340,500,840,559
3,2022-01-01,118,144,-26,47,91,-117,862,-120,180,-40,140,650
4,2022-01-01,43,17,26,4,15,11,777,20,10,30,40,775
5,2022-01-01,45,18,27,5,17,10,821,20,10,30,40,702
6,2022-01-01,43,17,26,4,15,11,777,20,10,30,40,775
3,2022-01-01,62,28,34,8,30,4,965,20,30,40,70,775
8,2022-01-01,250,105,145,95,129,16,725,30,90,130,220,702
9,2022-01-01,345,144,201,47,90,111,862,120,120,180,300,775
10,2022-01-01,234,95,139,30,53,86,608,90,80,120,200,702
11,2022-01-01,546,234,312,77,109,203,1310,150,150,220,370,775
12,2022-01-01,456,228,228,63,87,141,1459,100,150,160,310,775
13,2022-01-01,17,245,-245,93,126,-354,1419,-240,160,-160,0,702
2,2022-01-01,76,34,42,12,45,-3,197,10,40,50,90,702
4,2022-01-01,130,58,72,22,56,16,338,20,50,70,120,503
5,2022-01-01,140,60,80,19,47,33,336,50,50,80,130,503
6,2022-01-01,341,170,171,47,72,99,1091,100,160,160,320,971
3,2022-01-01,140,57,83,18,41,42,364,70,70,100,170,971
8,2022-01-01,90,36,54,10,21,33,777,40,30,40,70,971
9,2022-01-01,100,44,56,14,27,29,623,30,30,50,80,503
11,2022-01-01,80,32,48,8,20,28,456,30,20,30,50,971
12,2022-01-01,210,84,126,27,58,68,651,60,50,90,140,503
13,2022-01-01,200,84,116,26,49,67,500,50,50,80,130,541
1,2022-01-01,150,63,87,57,86,1,435,40,70,110,180,541
2,2022-01-01,160,67,93,22,65,28,400,60,80,120,200,503
4,2022-01-01,110,48,62,15,27,35,623,40,40,60,100,425
5,2022-01-01,120,54,66,20,53,13,312,20,50,60,110,253
6,2022-01-01,150,69,81,21,42,39,965,60,60,80,140,206
3,2022-01-01,190,79,111,72,102,9,551,60,90,140,230,509
8,2022-01-01,310,124,186,40,71,115,961,120,100,170,270,206
9,2022-01-01,85,34,51,9,21,30,777,50,20,50,70,360
11,2022-01-01,180,67,113,20,43,70,400,50,40,80,120,360
12,2022-01-01,150,61,89,19,41,48,390,40,40,60,100,253
13,2022-01-01,180,75,105,68,97,8,522,20,40,80,120,360
2,2022-01-01,130,53,77,16,39,38,338,70,60,100,160,206
1,2022-02-01,243,99,144,27,39,105,766,120,100,150,250,303
2,2022-02-01,190,83,107,27,39,68,613,80,80,110,190,720
3,2022-02-01,232,95,137,26,38,99,809,110,100,140,240,719
13,2022-02-01,100,44,56,14,26,30,618,30,30,50,80,970
5,2022-02-01,189,77,112,21,32,80,449,110,80,140,220,970
6,2022-02-01,189,75,114,24,55,59,549,90,80,140,220,303
8,2022-02-01,340,170,170,47,71,99,1073,100,140,150,290,970
9,2022-02-01,129,54,75,49,78,-3,427,10,40,70,110,970
10,2022-02-01,140,60,80,19,47,33,329,40,50,70,120,303
11,2022-02-01,132,59,73,22,55,18,331,10,50,60,110,719
12,2022-02-01,136,62,74,19,40,34,958,30,50,60,110,720
2,2022-02-01,354,148,206,48,91,115,844,140,150,220,370,312
3,2022-02-01,254,104,150,33,55,95,596,100,110,150,260,847
5,2022-02-01,545,234,311,77,110,201,1282,260,270,370,640,708
6,2022-02-01,457,228,229,63,87,142,1436,180,260,270,530,312
8,2022-02-01,243,99,144,27,39,105,766,110,80,130,210,815
9,2022-02-01,190,83,107,27,39,68,613,60,70,90,160,773
10,2022-02-01,232,95,137,26,38,99,809,100,80,120,200,847
11,2022-02-01,189,77,112,21,33,79,449,80,60,100,160,309
12,2022-02-01,189,75,114,24,55,59,549,50,60,100,160,630
1,2022-02-01,45,18,27,5,17,10,818,20,10,30,40,712
2,2022-02-01,63,28,35,8,29,6,961,20,20,40,60,319
3,2022-02-01,54,23,31,7,19,12,620,20,20,30,50,712
5,2022-02-01,47,19,28,5,17,11,774,20,20,30,50,319
6,2022-02-01,43,0,43,0,11,32,774,40,0,50,50,712
8,2022-02-01,545,234,311,77,110,201,1282,190,200,270,470,563
9,2022-02-01,254,104,150,33,55,95,596,110,80,140,220,563
11,2022-02-01,457,228,229,63,88,141,1436,140,190,210,400,563
12,2022-02-01,534,240,294,91,125,169,1391,150,200,260,460,515
2,2022-02-01,193,86,107,32,65,42,484,50,90,110,200,314
3,2022-02-01,165,75,90,23,44,46,956,60,70,100,170,816
13,2022-02-01,74,33,41,12,45,-4,193,0,20,40,60,573
5,2022-02-01,123,50,73,14,25,48,814,70,50,90,140,573
6,2022-02-01,103,42,61,11,23,38,771,60,40,80,120,573
8,2022-02-01,104,43,61,39,69,-8,256,10,30,60,90,636
9,2022-02-01,102,84,18,26,50,-32,625,-20,70,10,80,417
11,2022-02-01,82,35,47,11,38,9,191,10,30,40,70,816
12,2022-02-01,68,30,38,11,45,-7,165,-10,20,30,50,314
1,2022-02-01,140,60,80,19,47,33,329,50,60,80,140,937
2,2022-02-01,128,52,76,16,38,38,357,50,50,80,130,513
3,2022-02-01,129,54,75,49,78,-3,427,20,50,80,130,614
11,2022-02-01,200,80,120,26,58,62,640,60,60,110,170,614
12,2022-02-01,206,86,120,26,49,71,490,70,70,110,180,513
6,2022-02-01,132,59,73,22,55,18,331,40,60,90,150,614
5,2022-02-01,340,170,170,47,72,98,1073,140,190,210,400,234
8,2022-02-01,56,22,34,6,17,17,452,30,10,30,40,330
9,2022-02-01,80,32,48,8,20,28,817,50,20,50,70,740
1,2022-02-01,118,53,65,20,53,12,306,30,50,70,120,262
2,2022-02-01,220,92,128,83,113,15,541,40,90,140,230,920
3,2022-02-01,180,77,103,25,53,50,423,60,80,100,180,414
11,2022-02-01,137,56,81,17,40,41,382,50,40,80,120,920
12,2022-02-01,155,65,90,58,87,3,513,10,50,80,130,414
6,2022-02-01,110,48,62,15,27,35,617,50,50,70,120,715
5,2022-02-01,154,70,84,21,42,42,957,60,80,100,180,414
8,2022-02-01,174,65,109,20,43,66,372,80,50,100,150,715
9,2022-02-01,115,47,68,13,25,43,772,50,40,60,100,262
11,2022-02-01,123,50,73,14,25,48,814,60,50,80,130,475
13,2022-02-01,66,27,39,7,18,21,772,40,20,50,70,475
6,2022-02-01,130,55,75,18,46,29,305,40,50,70,120,203
5,2022-02-01,155,65,90,58,87,3,513,20,60,90,150,860
2,2022-02-01,325,130,195,42,74,121,945,130,120,180,300,959
9,2022-02-01,193,86,107,32,66,41,484,50,60,90,150,475
10,2022-02-01,165,75,90,23,44,46,956,50,50,70,120,860
11,2022-02-01,80,32,48,8,20,28,817,40,30,50,80,786
13,2022-02-01,115,47,68,13,24,44,772,60,40,80,120,727
6,2022-02-01,180,77,103,25,52,51,423,60,70,100,170,407
5,2022-02-01,220,92,128,83,112,16,541,40,80,130,210,305
3,2022-02-01,206,86,120,26,49,71,490,70,80,110,190,305
2,2022-02-01,200,80,120,26,57,63,640,80,70,120,190,754
8,2022-02-01,110,48,62,15,28,34,617,30,30,50,80,754
9,2022-02-01,118,53,65,20,53,12,306,20,40,50,90,727
10,2022-02-01,154,70,84,21,42,42,957,50,50,70,120,850
11,2022-02-01,80,32,48,8,20,28,817,40,30,50,80,978
13,2022-02-01,56,22,34,6,17,17,452,30,20,40,60,978
7,2022-02-01,340,170,170,47,71,99,1073,110,160,170,330,508
5,2022-02-01,128,54,74,49,78,-4,451,10,50,70,120,508
2,2022-02-01,470,75,395,24,55,340,235,330,70,370,440,774
9,2022-02-01,132,59,73,22,55,18,331,30,40,60,100,781
11,2022-02-01,45,18,27,5,16,11,818,20,10,30,40,603
13,2022-02-01,43,0,43,0,11,32,774,30,0,40,40,603
7,2022-02-01,68,30,38,11,44,-6,165,0,20,40,60,603
5,2022-02-01,104,43,61,39,68,-7,256,10,40,60,100,603
1,2022-02-01,101,41,60,13,35,25,236,40,30,60,90,603
2,2022-02-01,114,45,69,14,46,23,366,30,40,60,100,603
9,2022-02-01,74,33,41,12,45,-4,193,0,20,30,50,603
11,2022-02-01,232,95,137,26,37,100,809,120,100,150,250,631
12,2022-02-01,243,99,144,27,39,105,766,130,100,160,260,518
13,2022-02-01,189,77,112,21,33,79,449,90,80,120,200,845
7,2022-02-01,580,228,352,63,88,264,1402,280,210,350,560,585
5,2022-02-01,61,121,-60,110,143,-203,901,-190,110,-60,50,585
2,2022-02-01,645,258,387,90,142,245,2067,250,240,370,610,917
9,2022-02-01,495,240,255,91,124,131,1454,110,180,200,380,518
10,2022-02-01,180,213,-33,66,87,-120,1214,-80,160,-20,140,607
5,2022-02-01,174,65,109,20,44,65,372,70,50,90,140,504
6,2022-02-01,137,56,81,17,40,41,382,50,40,70,110,985
8,2022-02-01,112,49,63,16,28,35,617,40,40,60,100,337
9,2022-02-01,193,86,107,32,65,42,484,40,80,100,180,225
4,2022-02-01,155,65,90,58,88,2,342,10,50,80,130,318
2,2022-02-01,94,38,56,10,22,34,772,60,40,70,110,337
3,2022-02-01,115,47,68,13,24,44,772,70,50,90,140,504
5,2022-02-01,104,43,61,39,68,-7,256,0,30,50,80,505
6,2022-02-01,82,35,47,11,39,8,191,10,30,40,70,505
8,2022-02-01,45,18,27,5,17,10,818,20,10,30,40,505
9,2022-02-01,63,28,35,8,30,5,961,20,20,40,60,505
4,2022-02-01,68,30,38,11,45,-7,104,0,20,30,50,505
2,2022-02-01,114,45,69,14,45,24,366,50,50,90,140,505
3,2022-02-01,102,84,18,26,49,-31,625,-20,100,20,120,505
4,2022-02-01,206,86,120,26,50,70,300,70,70,100,170,405
5,2022-02-01,56,22,34,6,17,17,452,30,10,30,40,918
6,2022-02-01,200,80,120,26,57,63,640,70,60,110,170,405
8,2022-02-01,118,53,65,20,54,11,306,20,50,60,110,918
9,2022-02-01,220,92,128,83,113,15,541,40,80,130,210,405
2,2022-02-01,100,44,56,14,27,29,618,50,50,70,120,918
3,2022-02-01,80,32,48,8,19,29,817,50,40,60,100,405
4,2022-02-01,189,75,114,24,56,58,378,60,60,100,160,512
5,2022-02-01,243,99,144,27,38,106,766,100,80,120,200,903
6,2022-02-01,189,77,112,21,32,80,449,90,60,100,160,956
8,2022-02-01,140,60,80,19,47,33,329,50,50,80,130,214
9,2022-02-01,128,52,76,16,38,38,357,50,40,80,120,432
2,2022-02-01,465,213,252,66,88,164,942,240,260,320,580,972
3,2022-02-01,190,83,107,27,39,68,613,100,100,130,230,432
4,2022-02-01,103,42,61,11,23,38,771,30,40,50,90,435
5,2022-02-01,112,49,63,16,28,35,617,40,40,60,100,801
6,2022-02-01,123,50,73,14,25,48,814,50,40,70,110,435
8,2022-02-01,101,41,60,13,36,24,236,30,30,50,80,435
9,2022-02-01,114,45,69,14,45,24,366,40,30,70,100,435
10,2022-02-01,102,84,18,26,49,-31,625,-30,70,10,80,435
11,2022-02-01,104,43,61,39,68,-7,256,10,20,50,70,435
12,2022-02-01,82,35,47,11,38,9,191,10,20,30,50,435
13,2022-02-01,68,30,38,11,44,-6,165,10,10,30,40,435
1,2022-02-01,165,75,90,23,44,46,956,70,90,110,200,435
2,2022-02-01,130,55,75,18,45,30,305,70,60,100,160,435
3,2022-02-01,193,86,107,32,66,41,484,80,100,140,240,435
4,2022-02-01,457,228,229,63,87,142,1436,150,210,220,430,831
5,2022-02-01,290,121,169,110,143,26,712,30,110,160,270,916
6,2022-02-01,545,234,311,77,109,202,1282,200,220,300,520,951
8,2022-02-01,232,95,137,26,37,100,809,100,80,120,200,949
9,2022-02-01,465,213,252,66,88,164,942,160,180,220,400,714
10,2022-02-01,190,83,107,27,39,68,613,60,70,90,160,530
11,2022-02-01,243,99,144,27,38,106,766,90,60,100,160,626
12,2022-02-01,189,77,112,21,32,80,449,60,50,70,120,858
13,2022-02-01,189,75,114,24,56,58,549,50,40,80,120,858
1,2022-02-01,132,104,28,33,55,-27,685,-20,130,30,160,909
2,2022-02-01,645,258,387,90,142,245,2067,360,320,480,800,415
3,2022-02-01,122,148,-26,48,91,-117,1071,-110,180,-30,150,818
4,2022-02-01,43,0,43,0,12,31,774,30,0,40,40,702
5,2022-02-01,45,18,27,5,17,10,818,20,10,30,40,775
6,2022-02-01,47,19,28,5,17,11,774,20,10,30,40,775
3,2022-02-01,63,28,35,8,29,6,961,20,30,40,70,702
8,2022-02-01,290,121,169,110,143,26,712,40,100,150,250,775
9,2022-02-01,354,148,206,48,91,115,844,120,120,190,310,775
10,2022-02-01,254,104,150,33,56,94,596,110,80,140,220,702
11,2022-02-01,545,234,311,77,109,202,1282,150,150,220,370,775
12,2022-02-01,457,228,229,63,87,142,1436,100,150,160,310,702
13,2022-02-01,23,240,-240,91,125,-342,1937,-220,150,-150,0,702
2,2022-02-01,74,33,41,12,46,-5,193,10,40,50,90,775
4,2022-02-01,132,59,73,22,55,18,331,20,50,70,120,503
5,2022-02-01,140,60,80,19,47,33,329,50,50,80,130,541
6,2022-02-01,340,170,170,47,71,99,1073,100,160,160,320,971
3,2022-02-01,128,52,76,16,38,38,357,70,60,100,160,971
8,2022-02-01,81,33,48,9,20,28,772,50,20,50,70,971
9,2022-02-01,100,44,56,14,26,30,618,30,30,50,80,541
11,2022-02-01,56,22,34,6,17,17,452,20,10,20,30,541
12,2022-02-01,200,80,120,26,58,62,640,50,50,80,130,971
13,2022-02-01,206,86,120,26,49,71,490,60,50,90,140,503
1,2022-02-01,129,54,75,49,79,-4,427,40,60,100,160,971
2,2022-02-01,155,65,90,21,65,25,392,50,80,110,190,503
4,2022-02-01,110,48,62,15,27,35,617,40,40,60,100,360
5,2022-02-01,118,53,65,20,53,12,306,20,50,60,110,253
6,2022-02-01,154,70,84,21,43,41,957,60,60,80,140,509
3,2022-02-01,220,92,128,83,113,15,541,60,110,160,270,206
8,2022-02-01,325,130,195,42,74,121,945,120,110,170,280,206
9,2022-02-01,94,38,56,10,22,34,772,50,30,50,80,509
11,2022-02-01,174,65,109,20,43,66,372,40,40,70,110,360
12,2022-02-01,137,56,81,17,40,41,382,40,30,60,90,206
13,2022-02-01,155,65,90,58,87,3,513,10,40,60,100,253
2,2022-02-01,142,58,84,18,40,44,331,70,70,100,170,509
1,2022-03-02,213,87,126,24,36,90,756,100,90,130,220,720
2,2022-03-02,193,84,109,27,40,69,603,90,80,120,200,970
3,2022-03-02,234,95,139,26,38,101,799,110,100,140,240,720
13,2022-03-02,98,43,55,14,26,29,613,30,30,50,80,720
5,2022-03-02,198,81,117,22,33,84,441,110,90,140,230,719
6,2022-03-02,180,72,108,23,54,54,541,80,80,130,210,970
8,2022-03-02,325,162,163,45,69,94,1059,100,130,150,280,719
9,2022-03-02,125,52,73,47,77,-4,421,20,40,70,110,970
10,2022-03-02,134,57,77,18,46,31,323,40,40,70,110,720
11,2022-03-02,129,58,71,22,55,16,325,20,40,70,110,970
12,2022-03-02,135,62,73,19,41,32,952,30,50,60,110,303
2,2022-03-02,367,154,213,50,94,119,829,140,160,220,380,217
3,2022-03-02,267,109,158,34,56,102,585,120,110,170,280,630
5,2022-03-02,567,243,324,80,113,211,1260,260,280,380,660,312
6,2022-03-02,478,239,239,66,91,148,1417,200,270,290,560,773
8,2022-03-02,213,87,126,24,35,91,756,90,70,110,180,224
9,2022-03-02,193,84,109,27,39,70,603,60,70,90,160,630
10,2022-03-02,234,95,139,26,37,102,799,100,80,120,200,773
11,2022-03-02,198,81,117,22,33,84,441,80,60,110,170,815
12,2022-03-02,180,72,108,23,55,53,541,40,60,90,150,773
1,2022-03-02,45,18,27,5,17,10,816,20,10,30,40,712
2,2022-03-02,63,28,35,8,29,6,958,20,20,40,60,641
3,2022-03-02,54,23,31,7,19,12,617,20,20,30,50,563
5,2022-03-02,41,16,25,4,16,9,772,20,10,30,40,712
6,2022-03-02,43,0,43,0,11,32,731,40,0,50,50,563
8,2022-03-02,567,243,324,80,112,212,1260,210,200,290,490,641
9,2022-03-02,267,109,158,34,56,102,585,110,90,140,230,319
11,2022-03-02,478,239,239,66,91,148,1417,140,200,220,420,515
12,2022-03-02,546,245,301,93,126,175,1369,160,210,270,480,515
2,2022-03-02,189,85,104,32,65,39,476,40,90,100,190,573
3,2022-03-02,163,74,89,22,44,45,949,60,70,100,170,573
13,2022-03-02,75,33,42,12,46,-4,190,0,20,40,60,573
5,2022-03-02,121,49,72,13,25,47,809,70,50,90,140,573
6,2022-03-02,118,48,70,13,25,45,766,60,50,80,130,660
8,2022-03-02,107,44,63,40,69,-6,251,10,30,60,90,816
9,2022-03-02,106,88,18,27,50,-32,715,-10,70,20,90,636
11,2022-03-02,85,36,49,11,38,11,187,10,30,40,70,417
12,2022-03-02,75,33,42,12,45,-3,162,0,20,40,60,417
1,2022-03-02,134,57,77,18,45,32,323,50,60,80,140,937
2,2022-03-02,121,49,72,15,37,35,351,40,50,70,120,740
3,2022-03-02,125,52,73,47,77,-4,421,20,50,80,130,513
11,2022-03-02,210,84,126,27,58,68,632,60,70,110,180,513
12,2022-03-02,214,89,125,27,51,74,481,70,70,110,180,513
6,2022-03-02,129,58,71,22,56,15,325,40,60,90,150,234
5,2022-03-02,325,162,163,45,69,94,1059,130,180,200,380,513
8,2022-03-02,53,21,32,5,17,15,449,30,10,30,40,234
9,2022-03-02,79,32,47,8,19,28,813,40,20,40,60,740
1,2022-03-02,120,54,66,20,53,13,301,30,50,70,120,262
2,2022-03-02,227,95,132,86,115,17,532,30,100,130,230,262
3,2022-03-02,188,80,108,26,53,55,415,70,80,110,190,414
11,2022-03-02,129,52,77,16,39,38,376,40,40,70,110,414
12,2022-03-02,150,63,87,57,86,1,506,10,50,80,130,920
6,2022-03-02,112,49,63,16,29,34,611,60,50,80,130,715
5,2022-03-02,155,71,84,22,43,41,950,60,80,100,180,715
8,2022-03-02,167,62,105,19,42,63,346,70,50,90,140,262
9,2022-03-02,121,49,72,13,25,47,767,50,40,60,100,715
11,2022-03-02,121,49,72,13,25,47,809,60,50,80,130,959
13,2022-03-02,62,25,37,7,19,18,769,30,20,40,60,860
6,2022-03-02,124,53,71,17,45,26,299,40,50,70,120,860
5,2022-03-02,150,63,87,57,87,0,506,10,60,80,140,860
2,2022-03-02,309,123,186,40,72,114,932,130,110,180,290,475
