orderid,customerid,noguest,tableno,intime,outtime,dinetypeid,paymentid,total,discount,netpay,vat,isposted,username
166,ZF1,2,3,2002-01-23 19:31:00,2002-01-23 20:19:00,EI,CASH,240.00,0.00,240.00,15.70,false,dbo
167,PJ1,4,4,2002-01-23 19:46:00,2002-01-23 21:12:00,EI,MC,250.00,10.00,240.00,15.70,false,dbo
168,PJ1,3,1,2002-01-23 20:19:00,2002-01-23 22:36:00,EI,VISA,515.00,0.00,515.00,33.69,false,dbo
169,ZM1,4,4,2002-01-24 18:41:00,2002-01-24 19:41:00,EI,CASH,260.00,0.00,260.00,17.01,false,dbo
170,ZF1,2,4,2002-01-24 18:49:00,2002-01-24 19:48:00,EI,VISA,450.00,0.00,450.00,29.44,false,dbo
171,ZM1,3,1,2002-01-24 19:01:00,2002-01-24 21:13:00,EI,VISA,40.00,0.00,40.00,2.62,false,dbo
172,RH1,1,1,2002-01-24 19:15:00,2002-01-24 20:35:00,EI,VISA,445.00,0.00,445.00,29.11,false,dbo
173,ZF1,1,5,2002-01-24 19:50:00,2002-01-24 21:02:00,EI,CASH,20.00,0.00,20.00,1.31,false,dbo
174,ZM1,3,2,2002-01-24 20:22:00,2002-01-24 22:16:00,EI,MC,260.00,10.50,249.50,16.32,false,dbo
175,RH2,4,3,2002-01-25 10:38:00,2002-01-25 13:00:00,EI,CASH,190.00,0.00,190.00,12.43,false,dbo
176,ZM1,1,5,2002-01-25 10:51:00,2002-01-25 12:43:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
177,PJ1,2,2,2002-01-25 11:20:00,2002-01-25 13:37:00,EI,VISA,110.00,0.00,110.00,7.20,false,dbo
178,ZF1,4,4,2002-01-25 11:46:00,2002-01-25 14:02:00,EI,CASH,325.00,0.00,325.00,21.26,false,dbo
179,ZM1,4,2,2002-01-25 12:20:00,2002-01-25 14:29:00,EI,CASH,700.00,0.00,700.00,45.79,false,dbo
180,RH1,1,0,2002-01-25 18:51:00,2002-01-25 19:05:00,TG,VISA,380.00,0.00,380.00,24.86,false,dbo
181,ZM1,1,4,2002-01-25 19:44:00,2002-01-25 20:54:00,EI,VISA,60.00,0.00,60.00,3.93,false,dbo
182,ZF1,1,5,2002-01-25 19:55:00,2002-01-25 21:29:00,EI,VISA,900.00,0.00,900.00,58.88,false,dbo
183,ZM1,3,5,2002-01-25 20:05:00,2002-01-25 21:15:00,EI,CHK,100.00,0.00,100.00,6.54,false,dbo
184,ZM1,3,1,2002-01-25 20:14:00,2002-01-25 22:29:00,EI,CHK,240.00,0.00,240.00,15.70,false,dbo
185,RH1,5,1,2002-01-25 20:15:00,2002-01-25 21:02:00,EI,CASH,1940.00,276.00,1664.00,108.86,false,dbo
186,PH1,3,4,2002-01-26 10:46:00,2002-01-26 12:03:00,EI,CHK,380.00,0.00,380.00,24.86,false,dbo
187,PH1,6,5,2002-01-26 10:50:00,2002-01-26 12:18:00,EI,CASH,1180.00,177.00,1003.00,65.62,false,dbo
188,ZF1,2,3,2002-01-26 11:00:00,2002-01-26 12:07:00,EI,MC,320.00,11.00,309.00,20.21,false,dbo
189,PH1,6,3,2002-01-26 11:03:00,2002-01-26 11:47:00,EI,CASH,1980.00,274.50,1705.50,111.57,false,dbo
190,ZM1,4,3,2002-01-26 11:32:00,2002-01-26 13:52:00,EI,MC,50.00,2.50,47.50,3.11,false,dbo
191,ZF1,3,4,2002-01-26 18:45:00,2002-01-26 20:24:00,EI,CASH,1080.00,0.00,1080.00,70.65,false,dbo
192,ZF1,3,3,2002-01-26 19:34:00,2002-01-26 20:16:00,EI,CASH,330.00,0.00,330.00,21.59,false,dbo
193,PH1,3,8,2002-01-26 20:08:00,2002-01-26 21:16:00,EI,VISA,680.00,0.00,680.00,44.49,false,dbo
194,PJ1,2,1,2002-01-27 11:10:00,2002-01-27 12:40:00,EI,CASH,240.00,0.00,240.00,15.70,false,dbo
195,RH1,3,1,2002-01-27 11:13:00,2002-01-27 13:25:00,EI,CHK,670.00,0.00,670.00,43.83,false,dbo
196,ZF1,1,3,2002-01-27 11:37:00,2002-01-27 12:44:00,EI,CASH,470.00,0.00,470.00,30.75,false,dbo
197,RH2,2,5,2002-01-27 11:50:00,2002-01-27 13:13:00,EI,MC,480.00,16.50,463.50,30.32,false,dbo
198,RH2,3,1,2002-01-27 12:19:00,2002-01-27 14:21:00,EI,CHK,275.00,0.00,275.00,17.99,false,dbo
199,ZM1,4,2,2002-01-27 19:21:00,2002-01-27 20:00:00,EI,CHK,1040.00,104.00,936.00,61.23,false,dbo
200,ZM1,1,0,2002-01-27 19:37:00,2002-01-27 19:52:00,TG,MC,220.00,11.00,209.00,13.67,false,dbo
201,ZF1,3,4,2002-01-27 19:40:00,2002-01-27 20:43:00,EI,MC,260.00,8.00,252.00,16.49,false,dbo
202,PJ1,2,5,2002-01-27 19:58:00,2002-01-27 20:59:00,EI,CASH,465.00,0.00,465.00,30.42,false,dbo
203,ZF1,3,1,2002-01-27 20:11:00,2002-01-27 20:48:00,EI,AMEX,1430.00,133.00,1297.00,84.85,false,dbo
204,RH1,4,1,2002-01-27 20:13:00,2002-01-27 22:18:00,EI,CASH,220.00,0.00,220.00,14.39,false,dbo
205,ZF1,3,4,2002-01-28 10:48:00,2002-01-28 13:00:00,EI,CASH,550.00,0.00,550.00,35.98,false,dbo
206,ZF1,3,4,2002-01-28 18:43:00,2002-01-28 19:25:00,EI,MC,150.00,7.50,142.50,9.32,false,dbo
207,ZM1,4,4,2002-01-28 19:04:00,2002-01-28 20:35:00,EI,MC,330.00,9.00,321.00,21.00,false,dbo
208,ZM1,4,6,2002-01-28 20:06:00,2002-01-28 21:57:00,EI,MC,1510.00,136.00,1374.00,89.89,false,dbo
209,ZM1,2,2,2002-01-29 19:21:00,2002-01-29 21:14:00,EI,VISA,285.00,0.00,285.00,18.64,false,dbo
210,ZF1,3,1,2002-01-30 19:19:00,2002-01-30 21:05:00,EI,CHK,450.00,0.00,450.00,29.44,false,dbo
