"DateKey","FullDateAlternateKey","DayNumberOfWeek","EnglishDayNameOfWeek","SpanishDayNameOfWeek","FrenchDayNameOfWeek","DayNumberOfMonth","DayNumberOfYear","WeekNumberOfYear","EnglishMonthName","SpanishMonthName","FrenchMonthName","MonthNumberOfYear","CalendarQuarter","CalendarYear","CalendarSemester","FiscalQuarter","FiscalYear","FiscalSemester"
"20050117","38369","2","Monday","Lunes","Lundi","17","17","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050118","38370","3","Tuesday","Martes","Mardi","18","18","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050119","38371","4","Wednesday","Miércoles","Mercredi","19","19","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050120","38372","5","Thursday","Jueves","Jeudi","20","20","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050121","38373","6","Friday","Viernes","Vendredi","21","21","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050122","38374","7","Saturday","Sábado","Samedi","22","22","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050123","38375","1","Sunday","Domingo","Dimanche","23","23","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050124","38376","2","Monday","Lunes","Lundi","24","24","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050125","38377","3","Tuesday","Martes","Mardi","25","25","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050126","38378","4","Wednesday","Miércoles","Mercredi","26","26","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050127","38379","5","Thursday","Jueves","Jeudi","27","27","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050128","38380","6","Friday","Viernes","Vendredi","28","28","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050129","38381","7","Saturday","Sábado","Samedi","29","29","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050130","38382","1","Sunday","Domingo","Dimanche","30","30","6","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050131","38383","2","Monday","Lunes","Lundi","31","31","6","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050201","38384","3","Tuesday","Martes","Mardi","1","32","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050202","38385","4","Wednesday","Miércoles","Mercredi","2","33","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050203","38386","5","Thursday","Jueves","Jeudi","3","34","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050204","38387","6","Friday","Viernes","Vendredi","4","35","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050205","38388","7","Saturday","Sábado","Samedi","5","36","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050206","38389","1","Sunday","Domingo","Dimanche","6","37","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050207","38390","2","Monday","Lunes","Lundi","7","38","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050208","38391","3","Tuesday","Martes","Mardi","8","39","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050209","38392","4","Wednesday","Miércoles","Mercredi","9","40","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050210","38393","5","Thursday","Jueves","Jeudi","10","41","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050211","38394","6","Friday","Viernes","Vendredi","11","42","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050212","38395","7","Saturday","Sábado","Samedi","12","43","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050213","38396","1","Sunday","Domingo","Dimanche","13","44","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050214","38397","2","Monday","Lunes","Lundi","14","45","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050215","38398","3","Tuesday","Martes","Mardi","15","46","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050216","38399","4","Wednesday","Miércoles","Mercredi","16","47","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050217","38400","5","Thursday","Jueves","Jeudi","17","48","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050218","38401","6","Friday","Viernes","Vendredi","18","49","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050219","38402","7","Saturday","Sábado","Samedi","19","50","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050220","38403","1","Sunday","Domingo","Dimanche","20","51","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050221","38404","2","Monday","Lunes","Lundi","21","52","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050222","38405","3","Tuesday","Martes","Mardi","22","53","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050223","38406","4","Wednesday","Miércoles","Mercredi","23","54","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050224","38407","5","Thursday","Jueves","Jeudi","24","55","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050225","38408","6","Friday","Viernes","Vendredi","25","56","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050226","38409","7","Saturday","Sábado","Samedi","26","57","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050227","38410","1","Sunday","Domingo","Dimanche","27","58","10","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050228","38411","2","Monday","Lunes","Lundi","28","59","10","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050301","38412","3","Tuesday","Martes","Mardi","1","60","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050302","38413","4","Wednesday","Miércoles","Mercredi","2","61","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050303","38414","5","Thursday","Jueves","Jeudi","3","62","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050304","38415","6","Friday","Viernes","Vendredi","4","63","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050305","38416","7","Saturday","Sábado","Samedi","5","64","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050306","38417","1","Sunday","Domingo","Dimanche","6","65","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050307","38418","2","Monday","Lunes","Lundi","7","66","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050308","38419","3","Tuesday","Martes","Mardi","8","67","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050309","38420","4","Wednesday","Miércoles","Mercredi","9","68","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050310","38421","5","Thursday","Jueves","Jeudi","10","69","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050311","38422","6","Friday","Viernes","Vendredi","11","70","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050312","38423","7","Saturday","Sábado","Samedi","12","71","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050313","38424","1","Sunday","Domingo","Dimanche","13","72","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050314","38425","2","Monday","Lunes","Lundi","14","73","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050315","38426","3","Tuesday","Martes","Mardi","15","74","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050316","38427","4","Wednesday","Miércoles","Mercredi","16","75","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050317","38428","5","Thursday","Jueves","Jeudi","17","76","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050318","38429","6","Friday","Viernes","Vendredi","18","77","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050319","38430","7","Saturday","Sábado","Samedi","19","78","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050320","38431","1","Sunday","Domingo","Dimanche","20","79","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050321","38432","2","Monday","Lunes","Lundi","21","80","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050322","38433","3","Tuesday","Martes","Mardi","22","81","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050323","38434","4","Wednesday","Miércoles","Mercredi","23","82","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050324","38435","5","Thursday","Jueves","Jeudi","24","83","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050325","38436","6","Friday","Viernes","Vendredi","25","84","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050326","38437","7","Saturday","Sábado","Samedi","26","85","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050327","38438","1","Sunday","Domingo","Dimanche","27","86","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050328","38439","2","Monday","Lunes","Lundi","28","87","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050329","38440","3","Tuesday","Martes","Mardi","29","88","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050330","38441","4","Wednesday","Miércoles","Mercredi","30","89","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050331","38442","5","Thursday","Jueves","Jeudi","31","90","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050401","38443","6","Friday","Viernes","Vendredi","1","91","14","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050402","38444","7","Saturday","Sábado","Samedi","2","92","14","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050403","38445","1","Sunday","Domingo","Dimanche","3","93","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050404","38446","2","Monday","Lunes","Lundi","4","94","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050405","38447","3","Tuesday","Martes","Mardi","5","95","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050406","38448","4","Wednesday","Miércoles","Mercredi","6","96","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050407","38449","5","Thursday","Jueves","Jeudi","7","97","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050408","38450","6","Friday","Viernes","Vendredi","8","98","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050409","38451","7","Saturday","Sábado","Samedi","9","99","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050410","38452","1","Sunday","Domingo","Dimanche","10","100","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050411","38453","2","Monday","Lunes","Lundi","11","101","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050412","38454","3","Tuesday","Martes","Mardi","12","102","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050413","38455","4","Wednesday","Miércoles","Mercredi","13","103","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050414","38456","5","Thursday","Jueves","Jeudi","14","104","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050415","38457","6","Friday","Viernes","Vendredi","15","105","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050416","38458","7","Saturday","Sábado","Samedi","16","106","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050417","38459","1","Sunday","Domingo","Dimanche","17","107","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050418","38460","2","Monday","Lunes","Lundi","18","108","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050419","38461","3","Tuesday","Martes","Mardi","19","109","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050420","38462","4","Wednesday","Miércoles","Mercredi","20","110","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050421","38463","5","Thursday","Jueves","Jeudi","21","111","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050422","38464","6","Friday","Viernes","Vendredi","22","112","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050423","38465","7","Saturday","Sábado","Samedi","23","113","17","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050424","38466","1","Sunday","Domingo","Dimanche","24","114","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050425","38467","2","Monday","Lunes","Lundi","25","115","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050426","38468","3","Tuesday","Martes","Mardi","26","116","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050427","38469","4","Wednesday","Miércoles","Mercredi","27","117","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050428","38470","5","Thursday","Jueves","Jeudi","28","118","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050429","38471","6","Friday","Viernes","Vendredi","29","119","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050430","38472","7","Saturday","Sábado","Samedi","30","120","18","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050501","38473","1","Sunday","Domingo","Dimanche","1","121","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050502","38474","2","Monday","Lunes","Lundi","2","122","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050503","38475","3","Tuesday","Martes","Mardi","3","123","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050504","38476","4","Wednesday","Miércoles","Mercredi","4","124","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050505","38477","5","Thursday","Jueves","Jeudi","5","125","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050506","38478","6","Friday","Viernes","Vendredi","6","126","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050507","38479","7","Saturday","Sábado","Samedi","7","127","19","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050508","38480","1","Sunday","Domingo","Dimanche","8","128","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050509","38481","2","Monday","Lunes","Lundi","9","129","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050510","38482","3","Tuesday","Martes","Mardi","10","130","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050511","38483","4","Wednesday","Miércoles","Mercredi","11","131","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050512","38484","5","Thursday","Jueves","Jeudi","12","132","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050513","38485","6","Friday","Viernes","Vendredi","13","133","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050514","38486","7","Saturday","Sábado","Samedi","14","134","20","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050515","38487","1","Sunday","Domingo","Dimanche","15","135","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050516","38488","2","Monday","Lunes","Lundi","16","136","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050517","38489","3","Tuesday","Martes","Mardi","17","137","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050518","38490","4","Wednesday","Miércoles","Mercredi","18","138","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050519","38491","5","Thursday","Jueves","Jeudi","19","139","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050520","38492","6","Friday","Viernes","Vendredi","20","140","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050521","38493","7","Saturday","Sábado","Samedi","21","141","21","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050522","38494","1","Sunday","Domingo","Dimanche","22","142","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050523","38495","2","Monday","Lunes","Lundi","23","143","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050524","38496","3","Tuesday","Martes","Mardi","24","144","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050525","38497","4","Wednesday","Miércoles","Mercredi","25","145","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050526","38498","5","Thursday","Jueves","Jeudi","26","146","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050527","38499","6","Friday","Viernes","Vendredi","27","147","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050528","38500","7","Saturday","Sábado","Samedi","28","148","22","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050529","38501","1","Sunday","Domingo","Dimanche","29","149","23","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050530","38502","2","Monday","Lunes","Lundi","30","150","23","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050531","38503","3","Tuesday","Martes","Mardi","31","151","23","May","Mayo","Mai","5","2","2005","1","4","2005","2"
"20050601","38504","4","Wednesday","Miércoles","Mercredi","1","152","23","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050602","38505","5","Thursday","Jueves","Jeudi","2","153","23","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050603","38506","6","Friday","Viernes","Vendredi","3","154","23","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050604","38507","7","Saturday","Sábado","Samedi","4","155","23","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050605","38508","1","Sunday","Domingo","Dimanche","5","156","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050606","38509","2","Monday","Lunes","Lundi","6","157","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050607","38510","3","Tuesday","Martes","Mardi","7","158","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050608","38511","4","Wednesday","Miércoles","Mercredi","8","159","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050609","38512","5","Thursday","Jueves","Jeudi","9","160","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050610","38513","6","Friday","Viernes","Vendredi","10","161","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050611","38514","7","Saturday","Sábado","Samedi","11","162","24","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050612","38515","1","Sunday","Domingo","Dimanche","12","163","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050613","38516","2","Monday","Lunes","Lundi","13","164","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050614","38517","3","Tuesday","Martes","Mardi","14","165","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050615","38518","4","Wednesday","Miércoles","Mercredi","15","166","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050616","38519","5","Thursday","Jueves","Jeudi","16","167","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050617","38520","6","Friday","Viernes","Vendredi","17","168","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050618","38521","7","Saturday","Sábado","Samedi","18","169","25","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050619","38522","1","Sunday","Domingo","Dimanche","19","170","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050620","38523","2","Monday","Lunes","Lundi","20","171","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050621","38524","3","Tuesday","Martes","Mardi","21","172","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050622","38525","4","Wednesday","Miércoles","Mercredi","22","173","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050623","38526","5","Thursday","Jueves","Jeudi","23","174","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050624","38527","6","Friday","Viernes","Vendredi","24","175","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050625","38528","7","Saturday","Sábado","Samedi","25","176","26","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050626","38529","1","Sunday","Domingo","Dimanche","26","177","27","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050627","38530","2","Monday","Lunes","Lundi","27","178","27","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050628","38531","3","Tuesday","Martes","Mardi","28","179","27","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050629","38532","4","Wednesday","Miércoles","Mercredi","29","180","27","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050630","38533","5","Thursday","Jueves","Jeudi","30","181","27","June","Junio","Juin","6","2","2005","1","4","2005","2"
"20050701","38534","6","Friday","Viernes","Vendredi","1","182","27","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050702","38535","7","Saturday","Sábado","Samedi","2","183","27","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050703","38536","1","Sunday","Domingo","Dimanche","3","184","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050704","38537","2","Monday","Lunes","Lundi","4","185","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050705","38538","3","Tuesday","Martes","Mardi","5","186","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050706","38539","4","Wednesday","Miércoles","Mercredi","6","187","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050707","38540","5","Thursday","Jueves","Jeudi","7","188","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050708","38541","6","Friday","Viernes","Vendredi","8","189","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050709","38542","7","Saturday","Sábado","Samedi","9","190","28","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050710","38543","1","Sunday","Domingo","Dimanche","10","191","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050711","38544","2","Monday","Lunes","Lundi","11","192","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050712","38545","3","Tuesday","Martes","Mardi","12","193","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050713","38546","4","Wednesday","Miércoles","Mercredi","13","194","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050714","38547","5","Thursday","Jueves","Jeudi","14","195","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050715","38548","6","Friday","Viernes","Vendredi","15","196","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050716","38549","7","Saturday","Sábado","Samedi","16","197","29","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050717","38550","1","Sunday","Domingo","Dimanche","17","198","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050718","38551","2","Monday","Lunes","Lundi","18","199","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050719","38552","3","Tuesday","Martes","Mardi","19","200","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050720","38553","4","Wednesday","Miércoles","Mercredi","20","201","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050721","38554","5","Thursday","Jueves","Jeudi","21","202","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050722","38555","6","Friday","Viernes","Vendredi","22","203","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050723","38556","7","Saturday","Sábado","Samedi","23","204","30","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050724","38557","1","Sunday","Domingo","Dimanche","24","205","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050725","38558","2","Monday","Lunes","Lundi","25","206","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050726","38559","3","Tuesday","Martes","Mardi","26","207","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050727","38560","4","Wednesday","Miércoles","Mercredi","27","208","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050728","38561","5","Thursday","Jueves","Jeudi","28","209","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050729","38562","6","Friday","Viernes","Vendredi","29","210","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050730","38563","7","Saturday","Sábado","Samedi","30","211","31","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050731","38564","1","Sunday","Domingo","Dimanche","31","212","32","July","Julio","Juillet","7","3","2005","2","1","2006","1"
"20050801","38565","2","Monday","Lunes","Lundi","1","213","32","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050802","38566","3","Tuesday","Martes","Mardi","2","214","32","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050803","38567","4","Wednesday","Miércoles","Mercredi","3","215","32","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050804","38568","5","Thursday","Jueves","Jeudi","4","216","32","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050805","38569","6","Friday","Viernes","Vendredi","5","217","32","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050806","38570","7","Saturday","Sábado","Samedi","6","218","32","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050807","38571","1","Sunday","Domingo","Dimanche","7","219","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050808","38572","2","Monday","Lunes","Lundi","8","220","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050809","38573","3","Tuesday","Martes","Mardi","9","221","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050810","38574","4","Wednesday","Miércoles","Mercredi","10","222","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050811","38575","5","Thursday","Jueves","Jeudi","11","223","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050812","38576","6","Friday","Viernes","Vendredi","12","224","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050813","38577","7","Saturday","Sábado","Samedi","13","225","33","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050814","38578","1","Sunday","Domingo","Dimanche","14","226","34","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050815","38579","2","Monday","Lunes","Lundi","15","227","34","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050816","38580","3","Tuesday","Martes","Mardi","16","228","34","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050817","38581","4","Wednesday","Miércoles","Mercredi","17","229","34","August","Agosto","Août","8","3","2005","2","1","2006","1"
"20050818","38582","5","Thursday","Jueves","Jeudi","18","230","34","August","Agosto","Août","8","3","2005","2","1","2006","1"
